x,per_episode
0.000000000000000000e+00,-1.358434860803527897e+02
1.000000000000000000e+00,-1.596560393624398557e+02
2.000000000000000000e+00,-1.560503531546259239e+02
3.000000000000000000e+00,-1.556384152616474239e+02
4.000000000000000000e+00,-1.351311330459809028e+02
5.000000000000000000e+00,-1.484454291379778965e+02
6.000000000000000000e+00,-1.529634935527535333e+02
7.000000000000000000e+00,-1.513805030678908565e+02
8.000000000000000000e+00,-1.402714072868347159e+02
9.000000000000000000e+00,-1.419495641927860277e+02
1.000000000000000000e+01,-1.452154352443997993e+02
1.100000000000000000e+01,-1.543212738923800487e+02
1.200000000000000000e+01,-1.523492226661768427e+02
1.300000000000000000e+01,-1.660668635428985169e+02
1.400000000000000000e+01,-1.499682797232155167e+02
1.500000000000000000e+01,-1.585569909241021094e+02
1.600000000000000000e+01,-1.692215018812987353e+02
1.700000000000000000e+01,-1.684119093360217789e+02
1.800000000000000000e+01,-1.377419005828504339e+02
1.900000000000000000e+01,-1.635065273654183500e+02
2.000000000000000000e+01,-1.704107705800599888e+02
2.100000000000000000e+01,-1.548507734607039765e+02
2.200000000000000000e+01,-1.631849375376660873e+02
2.300000000000000000e+01,-1.684812046160547254e+02
2.400000000000000000e+01,-1.509766611797261646e+02
2.500000000000000000e+01,-1.484018432049161902e+02
2.600000000000000000e+01,-1.521544423809992850e+02
2.700000000000000000e+01,-1.559475448580257080e+02
2.800000000000000000e+01,-1.550384491012498813e+02
2.900000000000000000e+01,-1.658086140216109357e+02
3.000000000000000000e+01,-1.409270394839709013e+02
3.100000000000000000e+01,-1.541864454820796766e+02
3.200000000000000000e+01,-1.644968450186806024e+02
3.300000000000000000e+01,-1.569506014254210982e+02
3.400000000000000000e+01,-1.524964632492470571e+02
3.500000000000000000e+01,-1.341524586311147402e+02
3.600000000000000000e+01,-1.428137928686261660e+02
3.700000000000000000e+01,-1.552900689935540584e+02
3.800000000000000000e+01,-1.499881601415096668e+02
3.900000000000000000e+01,-1.552715983249907481e+02
4.000000000000000000e+01,-1.497589921712611840e+02
4.100000000000000000e+01,-1.458326047556645335e+02
4.200000000000000000e+01,-1.501144105191674782e+02
4.300000000000000000e+01,-1.538124189649384732e+02
4.400000000000000000e+01,-1.552485521909507611e+02
4.500000000000000000e+01,-1.579207312562461425e+02
4.600000000000000000e+01,-1.281426997177966314e+02
4.700000000000000000e+01,-1.588047182777622481e+02
4.800000000000000000e+01,-1.653667204585469506e+02
4.900000000000000000e+01,-1.638522890749571559e+02
5.000000000000000000e+01,-1.419465946896267496e+02
5.100000000000000000e+01,-1.556982384255673821e+02
5.200000000000000000e+01,-1.519693978391856888e+02
5.300000000000000000e+01,-1.549141861402807194e+02
5.400000000000000000e+01,-1.582538438427527865e+02
5.500000000000000000e+01,-1.511572463549304643e+02
5.600000000000000000e+01,-1.657381882794442163e+02
5.700000000000000000e+01,-1.573972754553253708e+02
5.800000000000000000e+01,-1.571891666700192047e+02
5.900000000000000000e+01,-1.586096224391790486e+02
6.000000000000000000e+01,-1.298052403661611436e+02
6.100000000000000000e+01,-1.442312069913282073e+02
6.200000000000000000e+01,-1.425649779688090746e+02
6.300000000000000000e+01,-1.353265316500138340e+02
6.400000000000000000e+01,-1.456795166493200213e+02
6.500000000000000000e+01,-1.600233493341081328e+02
6.600000000000000000e+01,-1.543053306115236012e+02
6.700000000000000000e+01,-1.468097021528540438e+02
6.800000000000000000e+01,-1.494851128173247048e+02
6.900000000000000000e+01,-1.597759196205302317e+02
7.000000000000000000e+01,-1.505798605289580223e+02
7.100000000000000000e+01,-1.526734857691876073e+02
7.200000000000000000e+01,-1.687593971910787616e+02
7.300000000000000000e+01,-1.489625627786683424e+02
7.400000000000000000e+01,-1.688063725192445474e+02
7.500000000000000000e+01,-1.616861982797387327e+02
7.600000000000000000e+01,-1.462506043962789590e+02
7.700000000000000000e+01,-1.740635687659418522e+02
7.800000000000000000e+01,-1.598615597719603159e+02
7.900000000000000000e+01,-1.657249670073483685e+02
8.000000000000000000e+01,-1.408675192525573436e+02
8.100000000000000000e+01,-1.664187588758312586e+02
8.200000000000000000e+01,-1.589798804210887511e+02
8.300000000000000000e+01,-1.603671517278249041e+02
8.400000000000000000e+01,-1.530932651381736775e+02
8.500000000000000000e+01,-1.383791393120196744e+02
8.600000000000000000e+01,-1.510103975587116452e+02
8.700000000000000000e+01,-1.521042769139697839e+02
8.800000000000000000e+01,-1.561973016758841482e+02
8.900000000000000000e+01,-1.646034700400332724e+02
9.000000000000000000e+01,-1.447023986914800275e+02
9.100000000000000000e+01,-1.380828544542127929e+02
9.200000000000000000e+01,-1.527698141273645263e+02
9.300000000000000000e+01,-1.491136511736568195e+02
9.400000000000000000e+01,-1.545062794689556824e+02
9.500000000000000000e+01,-1.467086120320923328e+02
9.600000000000000000e+01,-1.473976445050828374e+02
9.700000000000000000e+01,-1.452931877611074469e+02
9.800000000000000000e+01,-1.408339042917391737e+02
9.900000000000000000e+01,-1.636419788922163434e+02
